Date,Open,High,Low,Close,Volume
2023-02-03,323.58,326.49,322.39,325.86,122861528
2023-02-06,322.9,323.71,318.82,318.83,115868857
2023-02-07,319.36,321.45,318.2,320.55,113208908
2023-02-08,323.27,326.43,322.81,325.63,121204143
2023-02-09,323.71,325.8,322.83,324.9,131429938
2023-02-10,323.3,324.18,321.62,323.69,125805632
2023-02-13,322.66,323.04,319.78,321.75,121921807
2023-02-14,324.5,325.8,322.83,323.47,103203572
2023-02-15,324.43,324.54,317.41,317.99,136826891
2023-02-16,320.0,324.35,319.63,324.1,133653388
2023-02-17,320.15,323.67,320.01,320.78,119733349
2023-02-20,321.07,322.97,318.15,321.79,113034378
2023-02-21,322.16,322.88,320.02,321.56,117781252
2023-02-22,317.94,318.74,315.83,315.94,131261010
2023-02-23,317.77,321.13,317.09,319.44,144600247
2023-02-24,319.89,321.27,316.8,316.94,120132137
2023-02-27,314.29,314.43,311.63,313.94,109326079
2023-02-28,315.75,317.69,314.13,314.8,131219879
2023-03-02,315.3,318.88,314.4,316.26,134687411
2023-03-03,317.69,318.3,315.3,316.36,113903621
2023-03-06,319.22,321.29,317.87,320.94,126067650
2023-03-07,320.04,321.92,319.64,319.8,132305543
2023-03-08,316.14,316.88,314.77,315.38,143256632
2023-03-09,316.57,317.19,313.59,314.04,166456519
2023-03-10,310.15,311.55,309.12,310.65,121792716
2023-03-13,311.77,313.69,308.03,313.21,125377574
2023-03-14,310.18,310.35,305.45,305.58,129872521
2023-03-15,309.75,311.42,307.81,309.1,112057164
2023-03-16,305.87,309.27,304.63,308.39,111884405
2023-03-17,312.2,312.68,309.8,312.07,126075336
2023-03-20,311.59,313.44,309.39,309.49,89484091
2023-03-21,311.86,312.05,309.64,310.36,84166007
2023-03-22,313.33,314.26,311.94,314.11,93689456
2023-03-23,311.51,315.75,311.41,315.75,111562635
2023-03-24,315.17,315.86,312.49,314.3,110748782
2023-03-27,314.83,314.84,311.24,312.85,100986815
2023-03-28,314.15,316.36,313.49,316.36,120382700
2023-03-29,315.68,317.03,314.94,317.01,152849174
2023-03-30,318.51,319.48,316.78,318.05,187349495
2023-03-31,319.6,322.54,319.17,322.03,194244791
2023-04-03,323.18,323.21,319.73,320.38,137960709
2023-04-04,320.97,322.85,320.24,321.75,155302511
2023-04-05,322.04,323.96,321.35,323.56,121196254
2023-04-06,322.37,322.4,317.78,317.82,145369418
2023-04-07,321.29,323.89,320.53,323.36,137010801
2023-04-10,323.27,327.89,323.07,326.38,144407683
2023-04-11,328.0,331.58,326.87,330.87,148445298
2023-04-12,330.88,332.8,329.77,332.09,252054775
2023-04-13,330.06,333.09,329.63,333.09,172637257
2023-04-14,335.42,335.77,332.49,333.68,298774120
2023-04-17,333.62,334.3,332.18,333.92,244966264
2023-04-18,334.93,334.97,331.35,333.5,238293765
2023-04-19,333.34,334.96,332.96,333.77,167721804
2023-04-20,332.42,333.65,331.18,332.66,176356265
2023-04-21,332.08,332.49,329.56,330.94,146584565
2023-04-24,329.99,330.35,328.06,328.7,133289353
2023-04-25,329.7,329.88,322.47,324.48,163595334
2023-04-26,324.57,325.61,323.3,323.97,142148721
2023-04-27,323.78,325.74,321.18,325.09,147056984
2023-04-28,327.35,328.56,324.77,326.46,156835928
2023-05-02,326.99,329.49,326.74,329.09,113909989
2023-05-03,326.99,327.93,325.83,326.52,103770971
2023-05-04,325.75,326.33,324.26,326.17,98920127
2023-05-08,329.01,330.05,328.2,328.9,98841107
2023-05-09,328.68,328.92,326.81,328.22,90984451
2023-05-10,327.73,327.9,324.94,326.04,97556890
2023-05-11,327.18,328.43,325.28,325.28,99132850
2023-05-12,324.83,325.24,322.97,323.61,99540028
2023-05-15,322.99,324.56,321.61,324.46,89271062
2023-05-16,327.01,327.72,324.6,325.31,104620587
2023-05-17,325.61,327.54,324.82,326.61,92270295
2023-05-18,329.07,329.87,327.68,329.84,94713526
2023-05-19,332.67,334.27,332.0,334.23,108741473
2023-05-22,334.5,337.66,333.43,336.27,111137782
2023-05-23,337.32,338.54,336.37,337.09,88884243
2023-05-24,335.36,337.32,335.09,336.49,95146291
2023-05-25,337.72,338.2,334.98,335.35,94201019
2023-05-26,336.87,338.06,335.89,337.11,106705040
2023-05-30,340.53,341.74,339.73,341.5,130052607
2023-05-31,341.55,342.51,339.04,339.12,191231879
2023-06-01,338.36,339.61,337.29,338.08,96806263
2023-06-02,340.57,342.68,340.12,342.67,97314317
2023-06-05,344.89,344.95,343.04,343.91,117539485
2023-06-07,344.76,345.63,343.03,343.22,115841143
2023-06-08,342.16,342.75,340.48,342.75,155259133
2023-06-09,344.28,347.42,343.34,346.79,139698171
2023-06-12,347.54,348.18,343.7,344.57,115930437
2023-06-13,346.92,347.46,345.38,346.39,119445575
2023-06-14,346.49,346.88,343.69,344.65,124557596
2023-06-15,345.93,346.58,342.72,343.19,117106186
2023-06-16,345.09,345.35,343.13,345.17,153589066
2023-06-19,344.36,344.55,341.98,343.13,120263306
2023-06-20,341.98,343.02,341.15,342.58,157399274
2023-06-21,341.48,342.03,338.98,339.44,126950283
2023-06-22,338.52,341.56,338.46,341.12,103389274
2023-06-23,341.95,342.21,338.21,338.45,100435756
2023-06-26,338.38,340.78,337.62,340.38,101453098
2023-06-27,340.42,340.45,338.65,340.32,97622170
2023-06-28,341.38,341.6,337.6,338.41,96687412
2023-06-29,338.46,340.34,336.39,336.39,105438937
2023-06-30,337.56,338.98,335.04,337.95,103950018
2023-07-03,340.26,343.5,340.07,343.08,98769880
2023-07-04,343.54,343.88,341.42,341.59,103848869
2023-07-05,341.47,342.82,338.93,339.04,130507262
2023-07-06,338.19,338.88,335.55,336.2,146366854
2023-07-07,334.79,334.79,330.33,331.57,134887011
2023-07-10,331.82,333.6,330.39,330.84,116841484
2023-07-11,333.47,337.02,332.91,337.02,147277345
2023-07-12,336.82,339.46,336.15,339.46,185295511
2023-07-13,341.6,343.01,341.1,341.13,154057328
2023-07-14,343.49,346.93,342.9,346.93,155034900
2023-07-17,345.38,346.98,344.74,345.75,150885641
2023-07-18,346.49,346.98,342.9,343.38,131142906
2023-07-19,345.61,345.69,341.78,343.11,123777034
2023-07-20,341.37,343.29,340.62,341.67,116380034
2023-07-21,339.19,342.39,337.45,342.39,130846247
2023-07-24,341.98,345.87,340.67,344.32,151453723
2023-07-25,345.78,346.27,342.93,344.92,200892226
2023-07-26,345.18,345.42,339.53,340.56,296536749
2023-07-27,341.64,345.5,340.58,344.76,238862076
2023-07-28,343.55,344.34,341.31,344.03,197315869
2023-07-31,346.5,347.18,344.72,345.62,168147750
2023-08-01,347.35,351.23,346.56,351.0,171252619
2023-08-02,349.1,349.74,343.25,343.8,173994097
2023-08-03,344.8,345.05,340.1,341.54,169190939
2023-08-04,341.6,342.72,340.62,341.25,118843923
2023-08-07,339.6,343.18,339.46,339.68,117858472
2023-08-08,342.12,342.62,337.25,337.95,127774416
2023-08-09,339.0,342.38,338.45,341.61,115524453
2023-08-10,339.69,340.46,339.09,340.46,164733982
2023-08-11,341.88,343.03,338.8,338.98,128907642
2023-08-14,338.58,339.52,335.28,336.33,125087415
2023-08-16,333.69,334.17,330.54,331.28,126659888
2023-08-17,329.63,330.43,325.74,330.23,117989700
2023-08-18,326.9,330.65,326.24,328.42,119156122
2023-08-21,329.45,331.09,328.3,328.84,100072004
2023-08-22,331.65,332.53,328.69,329.7,93980650
2023-08-23,328.95,330.22,327.87,329.15,87579120
2023-08-24,333.14,334.04,332.14,333.82,105020379
2023-08-25,329.31,331.4,328.66,330.25,82419945
2023-08-28,332.1,332.67,330.87,332.53,95135763
2023-08-29,333.57,334.46,332.7,333.76,88518037
2023-08-30,337.11,337.69,334.94,334.94,89254989
2023-08-31,335.38,336.06,333.39,334.75,146249137
2023-09-01,334.11,338.95,334.07,338.28,119773878
2023-09-04,339.1,341.02,337.6,341.02,96694641
2023-09-05,340.15,341.45,339.25,340.29,82753176
2023-09-06,339.66,340.48,337.36,337.85,91705977
2023-09-07,336.93,338.02,335.08,336.74,88385491
2023-09-08,336.29,336.66,333.92,336.4,79833140
2023-09-11,336.52,337.62,335.33,337.58,112564980
2023-09-12,338.51,338.81,335.28,335.54,94675658
2023-09-13,335.83,337.61,334.67,335.99,106778784
2023-09-14,337.34,341.19,336.64,341.19,121376523
2023-09-15,341.56,346.29,341.02,344.98,159760232
2023-09-18,342.98,344.39,340.51,340.67,100511732
2023-09-19,341.5,342.18,338.21,338.82,96050928
2023-09-20,338.54,339.87,337.57,338.75,104345680
